CD,Incumbent,Party,Clinton_2016,Trump_2016,Obama_2012,Romney_2012,Obama_2008,McCain_2008,FC,Member,State,ST_abb,2016gen,diff_trump,diff_romney,diff_mccain
AL-06,"Palmer, Gary",R,26.1,70.8,24.7,74.3,25,74.1,1,Gary Palmer , Alabama[46],AL,74.5,3.7,0.2,0.4
AL-05,"Brooks, Mo",R,31.3,64.7,34.9,63.9,36.3,62.6,1,Mo Brooks , Alabama[47][48],AL,66.7,2,2.8,4.1
AZ-05,"Biggs, Andy",R,36.5,57.6,34.6,63.8,36.3,62.6,1,Andy Biggs , Arizona[44],AZ,64.1,6.5,0.3,1.5
AZ-06,"Schweikert, David",R,42.4,52.4,38.8,59.5,41.2,57.7,1,David Schweikert , Arizona[49],AZ,62.1,9.7,2.6,4.4
AZ-04,"Gosar, Paul",R,27.5,67.7,31,67.2,34.4,64.2,1,Paul Gosar , Arizona[54],AZ,71.5,3.8,4.3,7.3
CO-04,"Buck, Ken",R,34.3,57.4,39.2,58.5,41.9,56.4,1,Ken Buck , Colorado[49],CO,63.6,6.2,5.1,7.2
FL-08,"Posey, Bill",R,37.7,58.4,42.1,56.6,43.8,54.9,1,Bill Posey , Florida[42],FL,63.1,4.7,6.5,8.2
FL-06,"DeSantis, Ron",R,39.9,56.9,46.6,52.2,50.1,48.7,1,Ron DeSantis , Florida[41],FL,58.6,1.7,6.4,9.9
FL-03,"Yoho, Ted",R,40.2,56.2,41.9,56.6,44.2,54.6,1,Ted Yoho , Florida[58],FL,56.6,0.4,0,2
GA-10,"Hice, Jodi",R,35.8,61.3,36.3,62.5,38.8,60.4,1,Jody Hice , Georgia[55],GA,100,38.7,37.5,39.6
IA-01,"Blum, Rod",R,45.2,48.7,56.2,42.5,58.5,40.4,1,Rod Blum , Iowa[42],IA,53.8,5.1,11.3,13.4
ID-01,"Labrador, Raul",R,25.4,63.7,32.2,64.9,35.1,62.5,1,Raúl Labrador , Idaho[41],ID,68.2,4.5,3.3,5.7
LA-04,"Johnson, Mike",R,36.6,60.6,39.7,59,39.9,58.9,1,Mike Johnson , Louisiana[56],LA,24.7,-35.9,-34.3,-34.2
MD-01,"Harris, Andy",R,33.5,61.9,37.8,60.3,38.4,59.6,1,Andy Harris , Maryland[42],MD,67,5.1,6.7,7.4
MI-03,"Amash, Justin",R,42.2,51.6,45.8,53.1,49.7,48.6,1,Justin Amash , Michigan[41],MI,59.5,7.9,6.4,10.9
NC-11,"Meadows, Mark",R,34,63.2,39.6,60.4,41.5,57.1,1,Mark Meadows ," North Carolina, Chairman, 2017–present[41][40]",NC,64.1,0.9,3.7,7
NM-02,"Pearce, Steve",R,39.9,50.1,44.9,51.7,48.4,50.2,1,Steve Pearce , New Mexico[49],NM,62.7,12.6,11,12.5
OH-04,"Jordan, Jim",R,30.7,64.3,42,56,43.7,54.4,1,Jim Jordan ," Ohio,[41] Chairman, 2015–2017[57]",OH,68,3.7,12,13.6
OK-01,"Bridenstine, Jim",R,32.7,61.4,34.2,65.8,35.8,64.2,1,Jim Bridenstine , Oklahoma[46],OK,100,38.6,34.2,35.8
PA-04,"Perry, Scott",R,37.1,58.6,41.5,57.1,45.1,53.8,1,Scott Perry , Pennsylvania[42],PA,66.1,7.5,9,12.3
SC-03,"Duncan, Jeff",R,29,67,33.9,64.5,35.1,63.5,1,Jeff Duncan , South Carolina[52],SC,72.8,5.8,8.3,9.3
SC-01,"Sanford, Mark",R,40.4,53.5,40.2,58.3,42.7,56.1,1,Mark Sanford , South Carolina[42],SC,58.6,5.1,0.3,2.5
TN-04,"DesJarlais, Scott",R,27.4,68.6,33.1,65.3,35.8,62.6,1,Scott DesJarlais , Tennessee[51],TN,65,-3.6,-0.3,2.4
TX-36,"Babin, Brian",R,25.2,72,25.7,73.2,30,69,1,Brian Babin , Texas[42],TX,88.6,16.6,15.4,19.6
TX-06,"Barton, Joe",R,41.9,54.2,40.8,57.9,42,57,1,Joe Barton , Texas[43],TX,58.3,4.1,0.4,1.3
TX-01,"Gohmert, Louie",R,25.3,72.2,27.5,71.6,30,69,1,Louie Gohmert , Texas[43],TX,73.9,1.7,2.3,4.9
TX-14,"Weber, Randy",R,38.4,58.2,39.5,59.3,42,57,1,Randy Weber , Texas[58],TX,61.9,3.7,2.6,4.9
VA-07,"Brat, Dave",R,44,50.5,44.4,55.6,44.9,54.3,1,Dave Brat , Virginia[45],VA,57.5,7,1.9,3.2
VA-09,"Griffith, Morgan",R,27.3,68.8,35.7,64.3,39.7,58.9,1,Morgan Griffith , Virginia[8],VA,68.6,-0.2,4.3,9.7
WV-02,"Mooney, Alex",R,29.4,65.8,38,60,43.9,54.7,1,Alex Mooney , West Virginia[42],WV,58.2,-7.6,-1.8,3.5
AZ-08,"Franks, Trent",R,37,58.1,36.9,61.7,38.4,60.6,1,Trent Franks , Arizona[49],AZ,68.5,10.4,6.8,7.9
OH-08,"Davidson, Warren",R,30.6,65.1,36.4,61.9,38.1,60.3,1,Warren Davidson , Ohio[50],OH,68.8,3.7,6.9,8.5
VA-05,"Garrett, Tom",R,42.3,53.4,46.2,53.8,46.8,52.2,1,Tom Garrett Jr. , Virginia[53],VA,58.2,4.8,4.4,6
